,bedrooms_total,baths_total,acres,sq_ft_tot_fn,tax_gross_amount,assessment_value_town,garage_capacity,year_built,total_stories,rooms_total,garage,flood_zone,basement,price_closed,city__Pomfret,city__Woodstock,covenants__Unknown,covenants__Yes,garage_type,short_sale,basement_access_type,current_use
0,3.0,3.0,1.58,3740.0,11044.0,538200.0,2.0,1970.0,2.0,14.0,1.0,0.0,1.0,495000.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
1,4.0,3.0,5.19,2276.0,13438.0,696500.0,2.0,1990.0,2.0,9.0,1.0,0.0,0.0,540000.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.053388151959384594
2,4.0,3.0,0.84,2200.0,6361.0,329700.0,1.0,1800.0,2.0,10.0,1.0,0.0,1.0,460000.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
3,3.0,3.0,15.4,2926.0,11829.0,697600.0,2.0,1995.0,2.0,7.0,1.0,0.0,1.0,500000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4,4.0,5.0,4.0,2817.0,10707.0,512100.0,2.0,1968.0,1.5,6.0,1.0,0.0,1.0,605914.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0454064702716032
5,5.0,3.0,54.07,4030.0,13268.992366412214,1460710.0,4.0,1986.0,1.75,12.0,1.0,0.0,1.0,1000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6,4.0,4.0,23.8,2780.0,18277.0,756570.0,0.0,1830.0,2.0,9.0,0.0,0.0,1.0,875000.0,0.0,0.0,0.0,0.0,0.1763667353570278,1.0,0.0,0.7364149897551437
7,3.0,3.0,10.33,2200.0,6708.0,728609.6899224806,1.0,1997.0,2.0,7.0,1.0,0.0,1.0,300000.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.016130686257755617
8,4.0,4.0,0.29,3324.0,10459.0,731280.0,0.0,1793.0,2.5,11.0,0.0,1.0,1.0,537500.0,0.0,0.0,1.0,0.0,0.6291522799715045,1.0,0.0,0.0
9,5.0,2.0,1.3,3732.0,15047.0,1140000.0,1.0,1801.0,2.5,11.0,1.0,1.0,1.0,825000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.36948608163257596,0.2202802782420778
10,3.0,3.0,24.1,2309.0,13144.0,681300.0,3.0,1986.0,2.0,8.0,1.0,0.0,0.0,680000.0,0.0,1.0,0.0,1.0,0.0,1.0,0.475299274042789,0.0
11,3.0,3.0,5.0,2940.0,7297.0,456000.0,2.0,1988.0,2.0,9.0,1.0,0.0,1.0,322000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8971831565086011,0.0
12,4.0,3.0,163.1,4154.0,13268.992366412214,1356440.0,3.0,1805.0,2.5,12.0,1.0,1.0,1.0,1450000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,3.0,2.0,5.7,1538.0,7148.0,370500.0,0.0,1988.0,2.0,10.0,0.0,0.0,0.0,370000.0,0.0,1.0,0.0,0.0,0.2053406859422664,0.0,0.0,0.0
14,4.0,4.0,43.0,3400.0,10476.0,916770.0,3.0,2008.0,2.0,8.0,1.0,0.0,1.0,930000.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
15,6.0,7.0,563.0,4700.0,36389.0,832100.0,2.0,1930.0,2.0,13.0,1.0,0.0,1.0,2500000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
16,4.0,4.0,23.0,3500.0,15202.0,834980.0,2.0,1800.0,1.5,9.0,1.0,0.0,1.0,700000.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
17,2.0,2.0,0.13,1600.0,8100.0,335200.0,1.0,1826.0,2.0,6.0,1.0,0.0,1.0,334000.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
18,5.0,4.0,18.7,3600.0,13260.0,687300.0,2.0,1999.0,2.0,10.0,1.0,0.0,1.0,540000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.061292860750760625
19,5.0,5.0,9.39,5710.0,12915.0,832500.0,3.0,1974.0,2.0,18.0,1.0,0.0,1.0,500000.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
20,3.0,2.0,2.68,1720.0,5495.0,316300.0,1.0,1968.0,1.0,6.0,1.0,0.0,1.0,370000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21,3.0,3.0,15.4,2926.0,10766.0,591330.0,2.0,1995.0,2.0,9.0,1.0,0.0,1.0,575000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19113006455376166
22,3.0,3.0,41.5,3213.0,17153.0,889100.0,2.0,1986.0,1.75,10.0,1.0,0.0,1.0,675000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
23,1.0,1.0,67.96,1272.0,13268.992366412214,2155650.0,2.0,1998.0,1.0,5.0,1.0,0.0,1.0,350000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16168381000701387
24,4.0,4.0,6.0,3266.0,12637.0,637900.0,2.0,1999.0,2.5,10.0,1.0,0.0,1.0,630000.0,0.0,1.0,0.0,1.0,0.0,1.0,0.010843907972684337,0.0
